"From","To","Type","Discovery Url"
"Adam Lake","rwot4","Attendee","https://github.com/WebOfTrustInfo/rwot4-paris/blob/master/final-documents/what-users-really-want.pdf"
"Adam Powers","rwot6","Attendee","https://github.com/WebOfTrustInfo/rwot6-santabarbara/blob/master/final-documents/did-auth.pdf"
"Adrian Gropper","rwot5","Attendee","https://github.com/WebOfTrustInfo/rwot5-boston/blob/master/final-documents/identity-hubs-capabilities-perspective.pdf"
"Adrian Gropper","rwot6","Attendee","https://github.com/WebOfTrustInfo/rwot6-santabarbara/blob/master/final-documents/sustainable-commons.pdf"
"Ajit Tripathi","rwot2","Attendee","https://github.com/WebOfTrustInfo/rwot2-id2020/blob/master/final-documents/identity-crisis.pdf"
"Alberto Elias","rwot6","Attendee","https://github.com/WebOfTrustInfo/rwot6-santabarbara/blob/master/final-documents/did-auth.pdf"
"Alessandro Voto","rwot3","Attendee","https://github.com/WebOfTrustInfo/rwot3-sf/blob/master/final-documents/reputation-toolkit.pdf"
"Andrew Hughes","rwot6","Attendee","https://github.com/WebOfTrustInfo/rwot6-santabarbara/blob/master/final-documents/did-auth.pdf"
"Angus Champion de Crespigny","rwot4","Attendee","https://github.com/WebOfTrustInfo/rwot4-paris/blob/master/final-documents/reputation-design.pdf"
"Anya Petrova","rwot5","Attendee","https://github.com/WebOfTrustInfo/rwot5-boston/blob/master/final-documents/dcs-theorem/The-DCS-Theorem.pdf"
"Arthur Brock","rwot1","Attendee","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/final-documents/dpki.pdf"
"Bob Clint","rwot3","Attendee","https://github.com/WebOfTrustInfo/rwot3-sf/blob/master/final-documents/joram-engagement-model.pdf"
"Bohdan Andriyiv","rwot7","Attendee","https://github.com/WebOfTrustInfo/rwot7-toronto/blob/master/final-documents/resource-integrity-proofs.pdf"
"Brent Zundel","rwot5","Attendee","https://github.com/WebOfTrustInfo/rwot5-boston/blob/master/final-documents/data-minimization-sd.pdf"
"Brian Weller","rwot1","Attendee","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/final-documents/whats-the-next-step.pdf"
"Cedric Franz","rwot6","Attendee","https://github.com/WebOfTrustInfo/rwot6-santabarbara/blob/master/final-documents/did-auth.pdf"
"Cherie Duncan","rwot6","Attendee","https://github.com/WebOfTrustInfo/rwot6-santabarbara/blob/master/final-documents/identity-hub-attestations.pdf"
"Christian Lundkvist","rwot1","Attendee","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/final-documents/dpki.pdf"
"Christian Lundkvist","rwot3","Attendee","https://github.com/WebOfTrustInfo/rwot3-sf/blob/master/final-documents/did-implementer-draft-10.pdf"
"Christian Lundkvist","rwot6","Attendee","https://github.com/WebOfTrustInfo/rwot6-santabarbara/blob/master/final-documents/did-auth.pdf"
"Christopher Allen","rwot1","Attendee","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/final-documents/dpki.pdf"
"Christopher Allen","rwot2","Attendee","https://github.com/WebOfTrustInfo/rwot2-id2020/blob/master/final-documents/smarter-signatures.pdf"
"Christopher Allen","rwot3","Attendee","https://github.com/WebOfTrustInfo/rwot3-sf/blob/master/final-documents/did-implementer-draft-10.pdf"
"Christopher Allen","rwot5","Attendee","https://github.com/WebOfTrustInfo/rwot5-boston/blob/master/final-documents/amira.pdf"
"Christopher Allen","rwot6","Attendee","https://github.com/WebOfTrustInfo/rwot6-santabarbara/blob/master/final-documents/btcr-resolver.pdf"
"Christopher Webber","rwot5","Attendee","https://github.com/WebOfTrustInfo/rwot5-boston/blob/master/final-documents/activitypub-decentralized-distributed.pdf"
"Claire Rumore","rwot6","Attendee","https://github.com/WebOfTrustInfo/rwot6-santabarbara/blob/master/final-documents/a-roadmap-for-ssi.pdf"
"Dan Gisolfi","rwot6","Attendee","https://github.com/WebOfTrustInfo/rwot6-santabarbara/blob/master/final-documents/a-roadmap-for-ssi.pdf"
"Dan Greening","rwot6","Attendee","https://github.com/WebOfTrustInfo/rwot6-santabarbara/blob/master/final-documents/a-roadmap-for-ssi.pdf"
"Dan Pape","rwot6","Attendee","https://github.com/WebOfTrustInfo/rwot6-santabarbara/blob/master/final-documents/btcr-resolver.pdf"
"Daniel Buchner","rwot3","Attendee","https://github.com/WebOfTrustInfo/rwot3-sf/blob/master/final-documents/hubs.pdf"
"Daniel Buchner","rwot6","Attendee","https://github.com/WebOfTrustInfo/rwot6-santabarbara/blob/master/final-documents/identity-hub-attestations.pdf"
"Daniel Hardman","rwot3","Attendee","https://github.com/WebOfTrustInfo/rwot3-sf/blob/master/final-documents/did-implementer-draft-10.pdf"
"Dave Croker","rwot1","Attendee","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/final-documents/rebranding-web-of-trust.pdf"
"Dave Longley","rwot5","Attendee","https://github.com/WebOfTrustInfo/rwot5-boston/blob/master/final-documents/did-method-veres-one.pdf"
"Dave Longley","rwot7","Attendee","https://github.com/WebOfTrustInfo/rwot7-toronto/blob/master/final-documents/resource-integrity-proofs.pdf"
"David Fields","rwot5","Attendee","https://github.com/WebOfTrustInfo/rwot5-boston/blob/master/final-documents/amira.pdf"
"David Lehn","rwot7","Attendee","https://github.com/WebOfTrustInfo/rwot7-toronto/blob/master/final-documents/resource-integrity-proofs.pdf"
"David Longley","rwot3","Attendee","https://github.com/WebOfTrustInfo/rwot3-sf/blob/master/final-documents/did-implementer-draft-10.pdf"
"Dmitri Zagidulin","rwot6","Attendee","https://github.com/WebOfTrustInfo/rwot6-santabarbara/blob/master/final-documents/did-auth.pdf"
"Dmitry Khovratovich","rwot4","Attendee","https://github.com/WebOfTrustInfo/rwot4-paris/blob/master/final-documents/reputation-design.pdf"
"Shaun Conway","rwot3","Attendee","https://github.com/WebOfTrustInfo/rwot3-sf/blob/master/final-documents/smart-consent-protocol.pdf"
"Drummond Reed","rwot1","Attendee","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/final-documents/dpki.pdf"
"Drummond Reed","rwot2","Attendee","https://github.com/WebOfTrustInfo/rwot2-id2020/blob/master/final-documents/requirements-for-dids.pdf"
"Drummond Reed","rwot3","Attendee","https://github.com/WebOfTrustInfo/rwot3-sf/blob/master/final-documents/did-implementer-draft-10.pdf"
"Drummond Reed","rwot5","Attendee","https://github.com/WebOfTrustInfo/rwot5-boston/blob/master/final-documents/identity-hubs-capabilities-perspective.pdf"
"du5t","rwot1","Attendee","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/final-documents/satisfying-real-world-use-cases.pdf"
"Duke Dorje","rwot1","Attendee","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/final-documents/dpki.pdf"
"Erica Connell","rwot6","Attendee","https://github.com/WebOfTrustInfo/rwot6-santabarbara/blob/master/final-documents/did-spec-1.0.pdf"
"Eugeniu Rusu","rwot6","Attendee","https://github.com/WebOfTrustInfo/rwot6-santabarbara/blob/master/final-documents/did-auth.pdf"
"Fabien Petitcolas","rwot4","Attendee","https://github.com/WebOfTrustInfo/rwot4-paris/blob/master/final-documents/reputation-design.pdf"
"Florent Blondeau","rwot4","Attendee","https://github.com/WebOfTrustInfo/rwot4-paris/blob/master/final-documents/reputation-design.pdf"
"Frederic Engel","rwot4","Attendee","https://github.com/WebOfTrustInfo/rwot4-paris/blob/master/final-documents/what-users-really-want.pdf"
"Ganesh Annan","rwot7","Attendee","https://github.com/WebOfTrustInfo/rwot7-toronto/blob/master/final-documents/resource-integrity-proofs.pdf"
"Gary Zimmerman","rwot2","Attendee","https://github.com/WebOfTrustInfo/rwot2-id2020/blob/master/final-documents/identity-crisis.pdf"
"Glenn Willen","rwot3","Attendee","https://github.com/WebOfTrustInfo/rwot3-sf/blob/master/final-documents/reputation-toolkit.pdf"
"Greg Maxwell","rwot1","Attendee","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/final-documents/smart-signatures.pdf"
"Greg Slepak","rwot1","Attendee","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/final-documents/dpki.pdf"
"Greg Slepak","rwot5","Attendee","https://github.com/WebOfTrustInfo/rwot5-boston/blob/master/final-documents/dcs-theorem/The-DCS-Theorem.pdf"
"Harlan Wood","rwot1","Attendee","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/final-documents/dpki.pdf"
"Harlan Wood","rwot3","Attendee","https://github.com/WebOfTrustInfo/rwot3-sf/blob/master/final-documents/digital-verification-advancements.pdf"
"Harrison Stahl","rwot7","Attendee","https://github.com/WebOfTrustInfo/rwot7-toronto/blob/master/final-documents/peer-to-peer-degrees-of-trust.pdf"
"Heather Vescent","rwot5","Attendee","https://github.com/WebOfTrustInfo/rwot5-boston/blob/master/final-documents/amira.pdf"
"Heather Vescent","rwot6","Attendee","https://github.com/WebOfTrustInfo/rwot6-santabarbara/blob/master/final-documents/sustainable-commons.pdf"
"Igor Kruiper","rwot2","Attendee","https://github.com/WebOfTrustInfo/rwot2-id2020/blob/master/final-documents/identity-crisis.pdf"
"Irene Hernandez","rwot5","Attendee","https://github.com/WebOfTrustInfo/rwot5-boston/blob/master/final-documents/data-minimization-sd.pdf"
"Jason Law","rwot3","Attendee","https://github.com/WebOfTrustInfo/rwot3-sf/blob/master/final-documents/did-implementer-draft-10.pdf"
"João Santos","rwot5","Attendee","https://github.com/WebOfTrustInfo/rwot5-boston/blob/master/final-documents/blockcerts-revocation.pdf"
"Joe Andrieu","rwot3","Attendee","https://github.com/WebOfTrustInfo/rwot3-sf/blob/master/final-documents/WisdomEmbedding-Human-Wisdom-in-Our-Digital-Tomorrow.pdf"
"Joe Andrieu","rwot4","Attendee","https://github.com/WebOfTrustInfo/rwot4-paris/blob/master/final-documents/what-users-really-want.pdf"
"Joe Andrieu","rwot5","Attendee","https://github.com/WebOfTrustInfo/rwot5-boston/blob/master/final-documents/amira.pdf"
"Joe Andrieu","rwot6","Attendee","https://github.com/WebOfTrustInfo/rwot6-santabarbara/blob/master/final-documents/did-spec-1.0.pdf"
"Joe Andrieu","rwot7","Attendee","https://github.com/WebOfTrustInfo/rwot7-toronto/blob/master/topics-and-advance-readings/five-mental-models-of-identity.md"
"John Callahan","rwot6","Attendee","https://github.com/WebOfTrustInfo/rwot6-santabarbara/blob/master/final-documents/did-auth.pdf"
"John Edge","rwot1","Attendee","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/final-documents/satisfying-real-world-use-cases.pdf"
"John Jordan","rwot6","Attendee","https://github.com/WebOfTrustInfo/rwot6-santabarbara/blob/master/final-documents/did-auth.pdf"
"John Toohey","rwot6","Attendee","https://github.com/WebOfTrustInfo/rwot6-santabarbara/blob/master/final-documents/identity-hub-attestations.pdf"
"Jon Callas","rwot1","Attendee","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/final-documents/dpki.pdf"
"Jonathan Endersby","rwot3","Attendee","https://github.com/WebOfTrustInfo/rwot3-sf/blob/master/final-documents/did-implementer-draft-10.pdf"
"Joseph Bonneau","rwot1","Attendee","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/final-documents/smart-signatures.pdf"
"Joseph Poon","rwot1","Attendee","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/final-documents/smart-signatures.pdf"
"Juan Caballero","rwot6","Attendee","https://github.com/WebOfTrustInfo/rwot6-santabarbara/blob/master/final-documents/sustainable-commons.pdf"
"Jude Nelson","rwot1","Attendee","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/final-documents/dpki.pdf"
"Justin Newton","rwot1","Attendee","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/final-documents/rebranding-web-of-trust.pdf"
"Kaliya Young","rwot1","Attendee","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/final-documents/satisfying-real-world-use-cases.pdf"
"Kaliya Young","rwot3","Attendee","https://github.com/WebOfTrustInfo/rwot3-sf/blob/master/final-documents/WisdomEmbedding-Human-Wisdom-in-Our-Digital-Tomorrow.pdf"
"Kaliya Young","rwot5","Attendee","https://github.com/WebOfTrustInfo/rwot5-boston/blob/master/final-documents/gdpr.pdf"
"Kaliya Young","rwot6","Attendee","https://github.com/WebOfTrustInfo/rwot6-santabarbara/blob/master/final-documents/sustainable-commons.pdf"
"Katryna Dow","rwot5","Attendee","https://github.com/WebOfTrustInfo/rwot5-boston/blob/master/final-documents/data-minimization-sd.pdf"
"Kenneth Bok","rwot7","Attendee","https://github.com/WebOfTrustInfo/rwot7-toronto/blob/master/final-documents/convincing-dad.pdf"
"Kevin Gannon","rwot2","Attendee","https://github.com/WebOfTrustInfo/rwot2-id2020/blob/master/final-documents/identity-crisis.pdf"
"Kim Hamilton Duffy","rwot4","Attendee","https://github.com/WebOfTrustInfo/rwot4-paris/blob/master/final-documents/ld-signatures.pdf"
"Kim Hamilton Duffy","rwot5","Attendee","https://github.com/WebOfTrustInfo/rwot5-boston/blob/master/final-documents/blockcerts-revocation.pdf"
"Kim Hamilton Duffy","rwot6","Attendee","https://github.com/WebOfTrustInfo/rwot6-santabarbara/blob/master/final-documents/btcr-resolver.pdf"
"Kim Hamilton Duffy","rwot7","Attendee","https://github.com/WebOfTrustInfo/rwot7-toronto/blob/master/final-documents/resource-integrity-proofs.pdf"
"Klara Sok","rwot4","Attendee","https://github.com/WebOfTrustInfo/rwot4-paris/blob/master/final-documents/reputation-design.pdf"
"Kulpreet Singh","rwot6","Attendee","https://github.com/WebOfTrustInfo/rwot6-santabarbara/blob/master/final-documents/open-badges-are-verifiable-credentials.pdf"
"Kyle Den Hartog","rwot6","Attendee","https://github.com/WebOfTrustInfo/rwot6-santabarbara/blob/master/final-documents/did-auth.pdf"
"Les Chasen","rwot2","Attendee","https://github.com/WebOfTrustInfo/rwot2-id2020/blob/master/final-documents/requirements-for-dids.pdf"
"Les Chasen","rwot3","Attendee","https://github.com/WebOfTrustInfo/rwot3-sf/blob/master/final-documents/did-implementer-draft-10.pdf"
"Lionel Wolberger","rwot5","Attendee","https://github.com/WebOfTrustInfo/rwot5-boston/blob/master/final-documents/data-minimization-sd.pdf"
"Lohan Spies","rwot3","Attendee","https://github.com/WebOfTrustInfo/rwot3-sf/blob/master/final-documents/smart-consent-protocol.pdf"
"Lucas Parker","rwot7","Attendee","https://github.com/WebOfTrustInfo/rwot7-toronto/blob/master/final-documents/convincing-dad.pdf"
"Luiz Gustavo Ferraz Aoqui","rwot6","Attendee","https://github.com/WebOfTrustInfo/rwot6-santabarbara/blob/master/final-documents/open-badges-are-verifiable-credentials.pdf"
"Lyre Calliope","rwot5","Attendee","https://github.com/WebOfTrustInfo/rwot5-boston/blob/master/final-documents/amira.pdf"
"Manu Sporny","rwot3","Attendee","https://github.com/WebOfTrustInfo/rwot3-sf/blob/master/final-documents/did-implementer-draft-10.pdf"
"Manu Sporny","rwot4","Attendee","https://github.com/WebOfTrustInfo/rwot4-paris/blob/master/final-documents/ld-signatures.pdf"
"Manu Sporny","rwot5","Attendee","https://github.com/WebOfTrustInfo/rwot5-boston/blob/master/final-documents/activitypub-decentralized-distributed.pdf"
"Manu Sporny","rwot6","Attendee","https://github.com/WebOfTrustInfo/rwot6-santabarbara/blob/master/final-documents/did-spec-1.0.pdf"
"Manu Sporny","rwot7","Attendee","https://github.com/WebOfTrustInfo/rwot7-toronto/blob/master/final-documents/resource-integrity-proofs.pdf"
"Mark S. Miller","rwot5","Attendee","https://github.com/WebOfTrustInfo/rwot5-boston/blob/master/final-documents/identity-hubs-capabilities-perspective.pdf"
"Mark van der Waal","rwot4","Attendee","https://github.com/WebOfTrustInfo/rwot4-paris/blob/master/final-documents/what-users-really-want.pdf"
"Markus Sabadello","rwot1","Attendee","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/final-documents/dpki.pdf"
"Markus Sabadello","rwot3","Attendee","https://github.com/WebOfTrustInfo/rwot3-sf/blob/master/final-documents/did-implementer-draft-10.pdf"
"Markus Sabadello","rwot4","Attendee","https://github.com/WebOfTrustInfo/rwot4-paris/blob/master/final-documents/ld-signatures.pdf"
"Markus Sabadello","rwot6","Attendee","https://github.com/WebOfTrustInfo/rwot6-santabarbara/blob/master/final-documents/did-auth.pdf"
"Marta Piekarska","rwot5","Attendee","https://github.com/WebOfTrustInfo/rwot5-boston/blob/master/final-documents/gdpr.pdf"
"Matthew Schutte","rwot3","Attendee","https://github.com/WebOfTrustInfo/rwot3-sf/blob/master/final-documents/WisdomEmbedding-Human-Wisdom-in-Our-Digital-Tomorrow.pdf"
"Matthew Wong","rwot7","Attendee","https://github.com/WebOfTrustInfo/rwot7-toronto/blob/master/final-documents/convincing-dad.pdf"
"Michael Haley","rwot5","Attendee","https://github.com/WebOfTrustInfo/rwot5-boston/blob/master/final-documents/amira.pdf"
"Michael Lodder","rwot5","Attendee","https://github.com/WebOfTrustInfo/rwot5-boston/blob/master/final-documents/gdpr.pdf"
"Moses Ma","rwot4","Attendee","https://github.com/WebOfTrustInfo/rwot4-paris/blob/master/final-documents/what-users-really-want.pdf"
"Moses Ma","rwot6","Attendee","https://github.com/WebOfTrustInfo/rwot6-santabarbara/blob/master/final-documents/a-roadmap-for-ssi.pdf"
"Natalie Smolenski","rwot3","Attendee","https://github.com/WebOfTrustInfo/rwot3-sf/blob/master/final-documents/WisdomEmbedding-Human-Wisdom-in-Our-Digital-Tomorrow.pdf"
"Nate Otto","rwot6","Attendee","https://github.com/WebOfTrustInfo/rwot6-santabarbara/blob/master/final-documents/open-badges-are-verifiable-credentials.pdf"
"Nikolaos Alexopoulos","rwot4","Attendee","https://github.com/WebOfTrustInfo/rwot4-paris/blob/master/final-documents/reputation-design.pdf"
"Noah Thorp","rwot1","Attendee","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/final-documents/dpki.pdf"
"Noah Thorp","rwot3","Attendee","https://github.com/WebOfTrustInfo/rwot3-sf/blob/master/final-documents/reputation-toolkit.pdf"
"Olivier Maas","rwot4","Attendee","https://github.com/WebOfTrustInfo/rwot4-paris/blob/master/final-documents/what-users-really-want.pdf"
"Pat McBennett","rwot5","Attendee","https://github.com/WebOfTrustInfo/rwot5-boston/blob/master/final-documents/amira.pdf"
"Pavel Kravchenko","rwot1","Attendee","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/final-documents/dpki.pdf"
"Peter Scott","rwot7","Attendee","https://github.com/WebOfTrustInfo/rwot7-toronto/blob/master/final-documents/convincing-dad.pdf"
"Peter Snyder","rwot7","Attendee","https://github.com/WebOfTrustInfo/rwot7-toronto/blob/master/final-documents/peer-to-peer-degrees-of-trust.pdf"
"Peter Todd","rwot1","Attendee","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/final-documents/smart-signatures.pdf"
"Philippe Honigman","rwot4","Attendee","https://github.com/WebOfTrustInfo/rwot4-paris/blob/master/final-documents/reputation-design.pdf"
"Pieter Wuille","rwot1","Attendee","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/final-documents/smart-signatures.pdf"
"Raghav Chawla","rwot5","Attendee","https://github.com/WebOfTrustInfo/rwot5-boston/blob/master/final-documents/amira.pdf"
"Randall Farmer","rwot1","Attendee","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/final-documents/rebranding-web-of-trust.pdf"
"Robert Clint","rwot3","Attendee","https://github.com/WebOfTrustInfo/rwot3-sf/blob/master/final-documents/WisdomEmbedding-Human-Wisdom-in-Our-Digital-Tomorrow.pdf"
"Rodolphe Marques","rwot4","Attendee","https://github.com/WebOfTrustInfo/rwot4-paris/blob/master/final-documents/ld-signatures.pdf"
"Ron Kreutzer","rwot6","Attendee","https://github.com/WebOfTrustInfo/rwot6-santabarbara/blob/master/final-documents/identity-hub-attestations.pdf"
"Ryan Grant","rwot3","Attendee","https://github.com/WebOfTrustInfo/rwot3-sf/blob/master/final-documents/did-implementer-draft-10.pdf"
"Ryan Grant","rwot6","Attendee","https://github.com/WebOfTrustInfo/rwot6-santabarbara/blob/master/final-documents/btcr-resolver.pdf"
"Ryan Shea","rwot1","Attendee","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/final-documents/smart-signatures.pdf"
"Ryan Shea","rwot3","Attendee","https://github.com/WebOfTrustInfo/rwot3-sf/blob/master/final-documents/hubs.pdf"
"Samuel M. Smith Ph.D.","rwot6","Attendee","https://github.com/WebOfTrustInfo/rwot6-santabarbara/blob/master/final-documents/DecentralizedAutonomicData.pdf"
"Shannon Appelcline","rwot1","Attendee","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/final-documents/rebranding-web-of-trust.pdf"
"Shannon Appelcline","rwot2","Attendee","https://github.com/WebOfTrustInfo/rwot2-id2020/blob/master/final-documents/smarter-signatures.pdf"
"Shannon Appelcline","rwot3","Attendee","https://github.com/WebOfTrustInfo/rwot3-sf/blob/master/final-documents/WisdomEmbedding-Human-Wisdom-in-Our-Digital-Tomorrow.pdf"
"Shannon Appelcline","rwot5","Attendee","https://github.com/WebOfTrustInfo/rwot5-boston/blob/master/final-documents/amira.pdf"
"Shannon Appelcline","rwot6","Attendee","https://github.com/WebOfTrustInfo/rwot6-santabarbara/blob/master/final-documents/did-spec-1.0.pdf"
"Shannon Appelcline","rwot7","Attendee","https://github.com/WebOfTrustInfo/rwot7-toronto/blob/master/final-documents/convincing-dad.pdf"
"Shaun Conway","rwot4","Attendee","https://github.com/WebOfTrustInfo/rwot4-paris/blob/master/final-documents/reputation-design.pdf"
"Shireen Mitchell","rwot5","Attendee","https://github.com/WebOfTrustInfo/rwot5-boston/blob/master/final-documents/amira.pdf"
"Sonia Sawhney","rwot1","Attendee","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/final-documents/whats-the-next-step.pdf"
"Stephen Curran","rwot6","Attendee","https://github.com/WebOfTrustInfo/rwot6-santabarbara/blob/master/final-documents/identity-hub-attestations.pdf"
"Tim Chen","rwot5","Attendee","https://github.com/WebOfTrustInfo/rwot5-boston/blob/master/final-documents/amira.pdf"
"Tim Daubenschütz","rwot3","Attendee","https://github.com/WebOfTrustInfo/rwot3-sf/blob/master/final-documents/reputation-toolkit.pdf"
"Titus Capilnean","rwot7","Attendee","https://github.com/WebOfTrustInfo/rwot7-toronto/blob/master/final-documents/peer-to-peer-degrees-of-trust.pdf"
"Toni Lane Casserly","rwot5","Attendee","https://github.com/WebOfTrustInfo/rwot5-boston/blob/master/final-documents/amira.pdf"
"Tyler Close","rwot1","Attendee","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/final-documents/smart-signatures.pdf"
"Tyler Yasaka","rwot7","Attendee","https://github.com/WebOfTrustInfo/rwot7-toronto/blob/master/final-documents/peer-to-peer-degrees-of-trust.pdf"
"Vishal Gupta","rwot6","Attendee","https://github.com/WebOfTrustInfo/rwot6-santabarbara/blob/master/final-documents/DecentralizedAutonomicData.pdf"
"Vitalik Buterin","rwot1","Attendee","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/final-documents/dpki.pdf"
"Vivian Shen","rwot3","Attendee","https://github.com/WebOfTrustInfo/rwot3-sf/blob/master/final-documents/joram-engagement-model.pdf"
"Wayne Hennessy-Barrett","rwot2","Attendee","https://github.com/WebOfTrustInfo/rwot2-id2020/blob/master/final-documents/protecting-digital-identities-in-developing-countries.pdf"
"Wayne Vaughan","rwot3","Attendee","https://github.com/WebOfTrustInfo/rwot3-sf/blob/master/final-documents/hubs.pdf"
"Wes Kussmaul","rwot6","Attendee","https://github.com/WebOfTrustInfo/rwot6-santabarbara/blob/master/final-documents/a-roadmap-for-ssi.pdf"
"Zachary Larson","rwot3","Attendee","https://github.com/WebOfTrustInfo/rwot3-sf/blob/master/final-documents/WisdomEmbedding-Human-Wisdom-in-Our-Digital-Tomorrow.pdf"
"Zachary Larson","rwot5","Attendee","https://github.com/WebOfTrustInfo/rwot5-boston/blob/master/final-documents/data-minimization-sd.pdf"
